sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fc5,Fv6,Fv7,Fv8,Fv9,Fv10,Fv11
Fc3C3Fc4C1Fv6V1LPS3,R,C9,C0,C0,C3,C0,C0,2,4,0,0,8,7
Fc3C3Fc4C1Fv6V1LPS4,P,C3,C0,C0,C8,C7,C0,0,0,4,0,0,0
Fc3C3Fc4C1Fv6V1LPS5,S,C0,C6,C3,C2,C4,C0,0,0,0,4,6,0
Fc3C3Fc4C1Fv6V1LPS6,R,C0,C0,C0,C2,C8,C0,0,0,6,0,0,2
Fc3C3Fc4C1Fv6V1LPS7,P,C0,C6,C0,C0,C0,C4,4,1,0,0,0,1
Fc3C3Fc4C1Fv6V1LPS8,T,C6,C0,C0,C2,C0,C8,0,0,0,0,0,0
Fc3C3Fc4C1Fv6V1LPS9,P,C3,C5,C7,C2,C0,C6,0,0,0,1,0,8
Fc3C3Fc4C1Fv6V1LPS10,Q,C3,C2,C4,C4,C8,C0,0,0,0,0,0,0
Fc3C3Fc4C1Fv6V1LPS11,R,C0,C7,C4,C1,C0,C6,0,4,0,2,4,8
Fc3C3Fc4C1Fv6V1LPS12,V,C0,C7,C0,C0,C2,C7,0,2,8,2,0,4
Fc3C3Fc4C1Fv6V1LPS13,P,C0,C3,C2,C0,C0,C8,0,0,0,4,0,0
Fc3C3Fc4C1Fv6V1LPS14,V,C9,C1,C3,C0,C0,C4,3,9,0,0,0,0
Fc3C3Fc4C1Fv6V1LPS15,R,C0,C0,C0,C0,C0,C4,0,4,0,0,0,0
Fc3C3Fc4C1Fv6V2LQS3,Q,C0,C0,C0,C5,C2,C3,1,0,6,0,4,2
Fc3C3Fc4C1Fv6V2LQS5,S,C5,C1,C0,C0,C9,C3,1,0,0,0,4,3
Fc3C3Fc4C1Fv6V2LQS6,R,C1,C1,C0,C0,C7,C0,0,3,4,0,0,6
Fc3C3Fc4C1Fv6V2LQS7,S,C3,C0,C7,C0,C3,C3,1,0,0,0,0,0
Fc3C3Fc4C1Fv6V2LQS8,P,C0,C2,C1,C2,C8,C0,1,0,0,0,0,0
Fc3C3Fc4C1Fv6V2LQS9,T,C0,C3,C0,C0,C6,C0,2,1,4,0,1,0
Fc3C3Fc4C1Fv6V2LQS10,R,C0,C8,C3,C3,C0,C5,2,3,1,5,0,5
Fc3C3Fc4C1Fv6V2LQS11,P,C0,C0,C0,C2,C3,C4,1,2,0,1,1,0
Fc3C3Fc4C1Fv6V2LQS13,S,C2,C0,C0,C2,C4,C2,0,0,0,0,6,3
Fc3C3Fc4C1Fv6V2LQS14,R,C3,C2,C0,C2,C0,C2,1,0,0,0,0,0
Fc3C3Fc4C1Fv6V2LQS15,P,C9,C4,C3,C0,C0,C6,2,7,1,0,4,0
Fc3C3Fc4C1Fv6V3LRS3,R,C2,C4,C3,C9,C8,C0,2,0,0,0,0,5
Fc3C3Fc4C1Fv6V3LRS4,S,C4,C3,C0,C1,C3,C0,3,2,2,1,4,5
Fc3C3Fc4C1Fv6V3LRS5,Q,C4,C0,C0,C3,C0,C0,3,0,2,1,6,3
Fc3C3Fc4C1Fv6V3LRS6,S,C0,C3,C9,C0,C0,C0,2,2,4,2,0,0
Fc3C3Fc4C1Fv6V3LRS7,R,C2,C6,C2,C3,C6,C1,2,3,0,1,6,0
Fc3C3Fc4C1Fv6V3LRS8,R,C4,C3,C6,C1,C1,C4,1,6,1,6,1,0
Fc3C3Fc4C1Fv6V3LRS9,P,C1,C1,C3,C0,C7,C3,1,2,3,1,0,0
Fc3C3Fc4C1Fv6V3LRS10,Q,C8,C1,C0,C3,C0,C1,3,0,3,0,4,0
Fc3C3Fc4C1Fv6V3LRS12,Q,C4,C1,C0,C0,C2,C0,0,0,0,0,7,0
Fc3C3Fc4C1Fv6V3LRS13,P,C0,C0,C7,C3,C0,C0,3,5,0,4,8,0
Fc3C3Fc4C1Fv6V3LRS14,P,C2,C0,C2,C0,C1,C0,2,0,3,1,4,2
Fc3C3Fc4C1Fv6V3LRS15,V,C8,C5,C0,C8,C0,C0,1,0,4,0,0,0
Fc3C3Fc4C1Fv7V1LSS3,P,C3,C0,C0,C3,C3,C0,1,4,0,0,5,8
Fc3C3Fc4C1Fv7V1LSS4,P,C6,C0,C7,C7,C3,C0,0,1,0,0,1,8
Fc3C3Fc4C1Fv7V1LSS5,R,C0,C1,C6,C0,C0,C0,4,0,1,0,1,0
Fc3C3Fc4C1Fv7V1LSS6,R,C0,C0,C0,C0,C3,C2,4,0,6,0,0,0
Fc3C3Fc4C1Fv7V1LSS7,S,C5,C3,C0,C7,C3,C4,0,0,0,0,0,0
Fc3C3Fc4C1Fv7V1LSS8,Q,C0,C6,C4,C1,C2,C0,0,1,0,5,0,5
Fc3C3Fc4C1Fv7V1LSS9,Q,C0,C7,C3,C0,C1,C8,1,0,0,0,3,6
Fc3C3Fc4C1Fv7V1LSS10,Q,C0,C1,C3,C2,C0,C0,0,1,5,0,4,0
Fc3C3Fc4C1Fv7V1LSS11,S,C0,C8,C0,C0,C0,C0,0,1,0,0,4,0
Fc3C3Fc4C1Fv7V1LSS12,P,C1,C0,C7,C3,C5,C0,0,1,0,0,5,0
Fc3C3Fc4C1Fv7V1LSS13,R,C0,C4,C0,C2,C6,C5,0,1,0,4,1,0
Fc3C3Fc4C1Fv7V1LSS14,V,C0,C4,C7,C2,C0,C0,1,1,3,0,0,0
Fc3C3Fc4C1Fv7V1LSS15,V,C0,C1,C3,C0,C0,C2,0,1,0,0,0,0
Fc3C3Fc4C1Fv7V2LTS3,P,C9,C7,C9,C0,C0,C7,0,1,1,7,0,3
Fc3C3Fc4C1Fv7V2LTS4,R,C0,C4,C3,C6,C5,C4,4,1,0,0,4,1
Fc3C3Fc4C1Fv7V2LTS5,Q,C3,C3,C6,C7,C0,C7,0,1,0,6,5,0
Fc3C3Fc4C1Fv7V2LTS6,S,C3,C0,C9,C3,C5,C0,0,2,0,0,3,0
Fc3C3Fc4C1Fv7V2LTS8,Q,C2,C0,C6,C0,C0,C0,6,1,2,0,0,0
Fc3C3Fc4C1Fv7V2LTS9,P,C0,C0,C2,C7,C2,C1,4,0,7,0,1,9
Fc3C3Fc4C1Fv7V2LTS10,S,C3,C9,C5,C3,C0,C0,0,2,0,0,0,0
Fc3C3Fc4C1Fv7V2LTS11,P,C6,C0,C0,C1,C5,C2,0,2,6,0,0,0
Fc3C3Fc4C1Fv7V2LTS12,P,C1,C2,C3,C0,C0,C0,0,1,0,0,1,7
Fc3C3Fc4C1Fv7V2LTS13,Q,C0,C7,C9,C5,C1,C9,0,2,0,0,6,0
Fc3C3Fc4C1Fv7V2LTS14,P,C9,C0,C2,C0,C1,C2,0,2,0,0,0,7
Fc3C3Fc4C1Fv7V2LTS15,T,C2,C0,C1,C3,C4,C3,0,1,0,6,7,9
Fc3C3Fc4C1Fv7V3LVS3,P,C0,C0,C0,C9,C1,C7,6,3,6,0,0,0
Fc3C3Fc4C1Fv7V3LVS4,Q,C0,C0,C0,C0,C0,C0,0,3,0,0,0,3
Fc3C3Fc4C1Fv7V3LVS6,P,C0,C0,C0,C0,C0,C0,0,2,0,4,1,4
Fc3C3Fc4C1Fv7V3LVS7,Q,C0,C7,C0,C5,C3,C3,0,2,0,4,0,0
Fc3C3Fc4C1Fv7V3LVS8,S,C0,C0,C4,C2,C6,C4,0,3,0,5,5,0
Fc3C3Fc4C1Fv7V3LVS9,T,C3,C0,C3,C4,C0,C0,0,4,6,0,6,2
Fc3C3Fc4C1Fv7V3LVS10,T,C2,C0,C1,C5,C4,C0,0,3,1,2,3,5
Fc3C3Fc4C1Fv7V3LVS12,V,C0,C0,C6,C2,C4,C0,2,2,0,2,4,1
Fc3C3Fc4C1Fv7V3LVS13,R,C0,C0,C0,C8,C0,C0,0,2,0,1,3,6
Fc3C3Fc4C1Fv7V3LVS14,P,C8,C0,C1,C0,C0,C0,4,3,7,8,6,0
Fc3C3Fc4C1Fv7V3LVS15,V,C0,C7,C0,C5,C3,C5,0,3,9,0,0,0
Fc3C3Fc4C1Fv8V1LPS3,P,C8,C0,C6,C3,C2,C0,0,5,1,0,0,0
Fc3C3Fc4C1Fv8V1LPS4,Q,C5,C3,C4,C6,C0,C0,0,7,1,0,0,0
Fc3C3Fc4C1Fv8V1LPS5,Q,C0,C0,C3,C3,C1,C0,0,2,0,8,0,1
Fc3C3Fc4C1Fv8V1LPS6,P,C1,C3,C0,C3,C3,C0,4,0,0,0,3,5
Fc3C3Fc4C1Fv8V1LPS7,Q,C0,C0,C2,C6,C0,C2,0,7,1,2,6,0
Fc3C3Fc4C1Fv8V1LPS8,V,C0,C5,C1,C5,C0,C0,0,1,1,3,0,0
Fc3C3Fc4C1Fv8V1LPS9,P,C2,C9,C9,C4,C5,C3,0,0,1,0,0,5
Fc3C3Fc4C1Fv8V1LPS10,V,C0,C5,C0,C0,C2,C0,0,0,3,4,5,0
Fc3C3Fc4C1Fv8V1LPS11,P,C0,C0,C8,C4,C0,C0,4,0,0,0,0,6
Fc3C3Fc4C1Fv8V1LPS12,V,C9,C0,C0,C0,C4,C7,3,6,1,0,0,6
Fc3C3Fc4C1Fv8V1LPS13,R,C0,C0,C0,C3,C0,C3,0,1,0,6,6,0
Fc3C3Fc4C1Fv8V1LPS14,P,C2,C5,C9,C2,C8,C3,0,1,0,0,3,5
Fc3C3Fc4C1Fv8V1LPS15,P,C0,C0,C9,C0,C2,C6,0,4,0,0,4,7
Fc3C3Fc4C1Fv8V2LQS3,Q,C9,C0,C8,C0,C3,C9,0,0,1,6,2,8
Fc3C3Fc4C1Fv8V2LQS4,Q,C0,C6,C0,C3,C0,C1,6,1,1,0,3,0
Fc3C3Fc4C1Fv8V2LQS5,Q,C9,C3,C0,C5,C0,C0,0,3,0,1,5,0
Fc3C3Fc4C1Fv8V2LQS6,T,C8,C0,C0,C0,C0,C0,1,0,0,0,1,0
Fc3C3Fc4C1Fv8V2LQS7,P,C0,C0,C0,C8,C0,C7,0,1,1,0,0,0
Fc3C3Fc4C1Fv8V2LQS9,P,C7,C4,C9,C0,C0,C0,0,0,1,0,0,0
Fc3C3Fc4C1Fv8V2LQS10,V,C0,C3,C0,C2,C0,C3,0,2,1,0,2,0
Fc3C3Fc4C1Fv8V2LQS11,R,C7,C0,C0,C0,C3,C8,0,5,1,2,3,0
Fc3C3Fc4C1Fv8V2LQS12,V,C1,C0,C8,C7,C0,C0,1,0,1,0,0,0
Fc3C3Fc4C1Fv8V2LQS13,S,C0,C0,C4,C0,C0,C5,3,0,1,4,0,6
Fc3C3Fc4C1Fv8V2LQS14,P,C4,C0,C1,C0,C0,C0,5,0,2,0,0,0
Fc3C3Fc4C1Fv8V3LRS3,Q,C3,C0,C5,C5,C6,C1,7,2,5,3,1,0
Fc3C3Fc4C1Fv8V3LRS4,R,C0,C5,C3,C0,C4,C6,3,1,1,0,0,4
Fc3C3Fc4C1Fv8V3LRS5,S,C0,C0,C0,C2,C2,C0,0,0,3,2,3,0
Fc3C3Fc4C1Fv8V3LRS6,Q,C0,C1,C1,C0,C1,C8,2,3,2,4,8,2
Fc3C3Fc4C1Fv8V3LRS7,P,C0,C2,C3,C2,C0,C0,7,4,4,2,3,7
Fc3C3Fc4C1Fv8V3LRS8,Q,C0,C0,C8,C1,C0,C0,1,0,2,5,1,0
Fc3C3Fc4C1Fv8V3LRS9,P,C2,C0,C2,C0,C0,C3,1,0,2,0,2,5
Fc3C3Fc4C1Fv8V3LRS10,T,C9,C0,C8,C4,C0,C9,1,7,2,6,2,0
Fc3C3Fc4C1Fv8V3LRS12,T,C0,C0,C0,C0,C8,C0,3,0,3,0,0,0
Fc3C3Fc4C1Fv8V3LRS13,R,C0,C6,C0,C0,C9,C0,0,0,2,0,7,0
Fc3C3Fc4C1Fv8V3LRS14,P,C0,C0,C8,C4,C3,C0,5,2,2,6,1,0
Fc3C3Fc4C1Fv8V3LRS15,R,C0,C0,C3,C3,C1,C0,0,0,2,0,0,4
Fc3C3Fc4C1Fv9V1LSS3,P,C0,C0,C7,C5,C1,C0,3,5,1,1,2,1
Fc3C3Fc4C1Fv9V1LSS4,S,C6,C5,C1,C8,C1,C3,0,2,0,1,0,4
Fc3C3Fc4C1Fv9V1LSS5,P,C2,C2,C0,C0,C0,C2,9,0,5,0,0,0
Fc3C3Fc4C1Fv9V1LSS6,P,C0,C0,C6,C3,C8,C9,0,0,0,1,6,7
Fc3C3Fc4C1Fv9V1LSS7,V,C0,C0,C1,C0,C0,C1,5,0,4,2,5,0
Fc3C3Fc4C1Fv9V1LSS8,P,C0,C7,C4,C0,C3,C3,3,3,6,1,0,2
Fc3C3Fc4C1Fv9V1LSS9,P,C1,C0,C3,C9,C0,C0,0,0,0,1,0,9
Fc3C3Fc4C1Fv9V1LSS10,Q,C5,C0,C9,C2,C2,C1,0,0,5,0,0,0
Fc3C3Fc4C1Fv9V1LSS11,Q,C0,C3,C4,C6,C0,C4,1,0,0,1,7,0
Fc3C3Fc4C1Fv9V1LSS12,Q,C4,C0,C0,C5,C0,C9,0,1,0,0,0,8
Fc3C3Fc4C1Fv9V1LSS13,R,C1,C0,C8,C0,C0,C0,0,6,0,0,0,0
Fc3C3Fc4C1Fv9V1LSS14,P,C6,C6,C9,C5,C1,C1,2,1,6,1,0,5
Fc3C3Fc4C1Fv9V1LSS15,S,C4,C0,C4,C8,C4,C0,0,0,0,0,0,0
Fc3C3Fc4C1Fv9V2LTS3,Q,C2,C0,C0,C0,C4,C0,0,1,0,1,0,0
Fc3C3Fc4C1Fv9V2LTS4,P,C7,C4,C4,C9,C9,C0,6,0,5,1,4,0
Fc3C3Fc4C1Fv9V2LTS5,R,C0,C0,C7,C7,C0,C5,1,4,5,1,1,4
Fc3C3Fc4C1Fv9V2LTS6,Q,C7,C0,C0,C9,C0,C5,4,3,2,1,0,5
Fc3C3Fc4C1Fv9V2LTS8,P,C3,C0,C8,C0,C0,C0,0,0,0,2,2,0
Fc3C3Fc4C1Fv9V2LTS10,P,C2,C0,C0,C3,C0,C7,2,0,1,1,0,0
Fc3C3Fc4C1Fv9V2LTS11,P,C0,C0,C1,C0,C4,C0,4,0,2,2,3,1
Fc3C3Fc4C1Fv9V2LTS12,P,C2,C1,C0,C8,C0,C6,0,0,7,1,0,0
Fc3C3Fc4C1Fv9V2LTS13,P,C0,C1,C0,C0,C0,C0,4,0,7,2,0,0
Fc3C3Fc4C1Fv9V2LTS14,R,C8,C3,C0,C0,C0,C3,9,0,0,1,0,8
Fc3C3Fc4C1Fv9V2LTS15,R,C3,C0,C7,C0,C0,C0,2,6,4,2,1,0
Fc3C3Fc4C1Fv9V3LPS3,S,C6,C0,C0,C4,C0,C0,0,2,0,3,2,6
Fc3C3Fc4C1Fv9V3LPS4,P,C4,C0,C0,C5,C0,C7,0,1,3,3,7,0
Fc3C3Fc4C1Fv9V3LPS5,P,C0,C0,C2,C0,C1,C1,0,4,0,2,0,6
Fc3C3Fc4C1Fv9V3LPS6,V,C0,C3,C0,C2,C0,C3,0,0,0,2,0,0
Fc3C3Fc4C1Fv9V3LPS7,Q,C2,C3,C3,C0,C0,C4,1,0,5,2,0,0
Fc3C3Fc4C1Fv9V3LPS8,V,C0,C0,C3,C9,C0,C7,0,0,5,3,0,0
Fc3C3Fc4C1Fv9V3LPS9,P,C4,C0,C3,C5,C0,C2,7,0,2,2,2,1
Fc3C3Fc4C1Fv9V3LPS10,P,C0,C4,C5,C3,C2,C0,2,2,0,2,1,6
Fc3C3Fc4C1Fv9V3LPS11,P,C5,C0,C0,C0,C0,C0,0,4,7,3,0,0
Fc3C3Fc4C1Fv9V3LPS12,V,C1,C9,C0,C1,C3,C5,0,0,6,3,5,8
Fc3C3Fc4C1Fv9V3LPS13,Q,C0,C2,C0,C3,C2,C1,3,0,0,3,0,0
Fc3C3Fc4C1Fv9V3LPS14,Q,C8,C9,C2,C3,C2,C4,0,0,0,3,0,0
Fc3C3Fc4C1Fv9V3LPS15,R,C0,C0,C3,C5,C7,C0,0,1,0,2,4,0
Fc3C3Fc4C1Fv10V1LQS4,R,C1,C2,C0,C4,C7,C8,4,4,2,0,0,0
Fc3C3Fc4C1Fv10V1LQS6,T,C0,C0,C0,C0,C7,C0,1,2,2,7,1,7
Fc3C3Fc4C1Fv10V1LQS7,P,C2,C2,C3,C0,C0,C0,0,0,2,0,2,3
Fc3C3Fc4C1Fv10V1LQS8,R,C0,C7,C0,C9,C7,C0,5,2,7,5,0,0
Fc3C3Fc4C1Fv10V1LQS9,Q,C0,C0,C8,C2,C3,C1,0,0,0,0,1,0
Fc3C3Fc4C1Fv10V1LQS10,P,C1,C0,C0,C7,C5,C1,0,0,9,0,0,0
Fc3C3Fc4C1Fv10V1LQS11,T,C6,C5,C0,C0,C0,C0,0,0,0,0,1,3
Fc3C3Fc4C1Fv10V1LQS12,Q,C2,C0,C9,C8,C0,C0,0,0,0,0,2,8
Fc3C3Fc4C1Fv10V1LQS13,P,C0,C2,C3,C4,C0,C8,0,0,1,4,0,7
Fc3C3Fc4C1Fv10V1LQS14,R,C0,C0,C4,C0,C0,C0,1,0,5,6,1,0
Fc3C3Fc4C1Fv10V1LQS15,P,C9,C9,C0,C0,C1,C0,1,3,0,5,2,7
Fc3C3Fc4C1Fv10V2LRS3,P,C0,C0,C0,C3,C8,C0,2,0,0,0,2,0
Fc3C3Fc4C1Fv10V2LRS4,P,C8,C0,C6,C0,C0,C0,8,0,1,8,4,0
Fc3C3Fc4C1Fv10V2LRS5,V,C0,C7,C0,C1,C3,C0,0,0,0,0,1,3
Fc3C3Fc4C1Fv10V2LRS6,P,C7,C4,C9,C5,C1,C0,0,4,0,5,1,3
Fc3C3Fc4C1Fv10V2LRS7,P,C8,C6,C3,C3,C4,C4,3,0,0,0,4,1
Fc3C3Fc4C1Fv10V2LRS8,T,C3,C6,C7,C2,C2,C2,0,0,8,0,2,0
Fc3C3Fc4C1Fv10V2LRS9,R,C3,C3,C3,C0,C0,C0,1,2,0,4,2,2
Fc3C3Fc4C1Fv10V2LRS10,P,C7,C0,C0,C0,C9,C5,0,0,4,0,0,1
Fc3C3Fc4C1Fv10V2LRS11,R,C8,C0,C5,C0,C8,C2,0,0,0,0,2,0
Fc3C3Fc4C1Fv10V2LRS12,P,C1,C3,C8,C2,C1,C0,0,0,4,0,2,0
Fc3C3Fc4C1Fv10V2LRS13,R,C1,C0,C0,C4,C8,C1,6,7,0,0,0,0
Fc3C3Fc4C1Fv10V2LRS15,Q,C0,C5,C3,C2,C0,C0,0,0,4,0,0,0
Fc3C3Fc4C1Fv10V3LSS3,P,C0,C7,C0,C0,C3,C0,0,3,0,2,2,4
Fc3C3Fc4C1Fv10V3LSS4,S,C0,C2,C4,C6,C0,C0,0,0,5,0,3,0
Fc3C3Fc4C1Fv10V3LSS5,R,C0,C2,C0,C9,C0,C2,1,2,3,3,3,1
Fc3C3Fc4C1Fv10V3LSS6,R,C2,C5,C0,C0,C2,C2,7,0,2,4,2,1
Fc3C3Fc4C1Fv10V3LSS7,P,C3,C0,C0,C1,C0,C1,3,1,7,4,2,0
Fc3C3Fc4C1Fv10V3LSS8,R,C3,C1,C0,C0,C1,C0,0,3,0,8,3,1
Fc3C3Fc4C1Fv10V3LSS9,Q,C4,C0,C0,C0,C2,C0,0,6,0,0,3,0
Fc3C3Fc4C1Fv10V3LSS10,P,C0,C5,C0,C0,C4,C2,8,0,6,0,1,8
Fc3C3Fc4C1Fv10V3LSS11,T,C0,C5,C2,C0,C0,C8,0,0,0,5,3,0
Fc3C3Fc4C1Fv10V3LSS12,V,C0,C5,C3,C2,C6,C0,7,0,0,4,2,0
Fc3C3Fc4C1Fv10V3LSS13,R,C0,C0,C1,C5,C0,C0,0,2,0,6,3,0
Fc3C3Fc4C1Fv10V3LSS14,Q,C0,C8,C9,C0,C3,C1,0,0,0,0,3,0
Fc3C3Fc4C1Fv10V3LSS15,R,C3,C0,C8,C2,C5,C5,0,0,0,0,2,0
Fc3C3Fc4C1Fv11V1LPS3,Q,C3,C6,C3,C5,C0,C2,4,0,2,0,6,1
Fc3C3Fc4C1Fv11V1LPS4,P,C1,C0,C3,C6,C2,C2,5,0,0,2,1,0
Fc3C3Fc4C1Fv11V1LPS5,S,C1,C0,C0,C3,C2,C1,5,7,3,0,2,1
Fc3C3Fc4C1Fv11V1LPS6,R,C1,C0,C7,C1,C0,C9,0,0,6,0,1,4
Fc3C3Fc4C1Fv11V1LPS7,Q,C0,C1,C0,C2,C0,C0,7,0,5,0,0,1
Fc3C3Fc4C1Fv11V1LPS8,V,C0,C0,C3,C0,C0,C0,0,0,0,0,0,0
Fc3C3Fc4C1Fv11V1LPS9,Q,C3,C1,C4,C0,C0,C0,4,0,3,3,1,1
Fc3C3Fc4C1Fv11V1LPS10,Q,C0,C0,C8,C2,C4,C0,0,6,0,0,0,2
Fc3C3Fc4C1Fv11V1LPS11,P,C2,C6,C7,C0,C9,C8,2,0,5,2,5,1
Fc3C3Fc4C1Fv11V1LPS12,Q,C0,C0,C1,C4,C5,C1,0,2,8,2,2,0
Fc3C3Fc4C1Fv11V1LPS13,T,C2,C2,C3,C0,C0,C9,0,0,6,1,3,0
Fc3C3Fc4C1Fv11V1LPS14,V,C0,C4,C9,C1,C6,C9,0,6,0,7,6,0
Fc3C3Fc4C1Fv11V1LPS15,P,C2,C4,C0,C9,C3,C0,1,0,7,0,0,1
Fc3C3Fc4C1Fv11V2LQS3,P,C0,C6,C3,C0,C8,C0,7,5,8,3,3,0
Fc3C3Fc4C1Fv11V2LQS4,P,C0,C3,C0,C2,C0,C8,5,1,6,0,5,2
Fc3C3Fc4C1Fv11V2LQS5,T,C0,C3,C0,C3,C0,C0,1,0,9,0,0,0
Fc3C3Fc4C1Fv11V2LQS6,S,C4,C0,C0,C5,C9,C8,6,0,0,4,7,0
Fc3C3Fc4C1Fv11V2LQS7,S,C0,C2,C2,C2,C9,C0,5,0,0,3,5,1
Fc3C3Fc4C1Fv11V2LQS8,V,C8,C0,C2,C3,C0,C9,0,4,0,0,1,2
Fc3C3Fc4C1Fv11V2LQS9,Q,C1,C2,C2,C1,C0,C6,0,0,0,0,0,1
Fc3C3Fc4C1Fv11V2LQS10,Q,C2,C0,C0,C2,C2,C0,0,6,0,6,2,1
Fc3C3Fc4C1Fv11V2LQS11,P,C9,C8,C0,C6,C0,C0,0,0,6,0,4,3
Fc3C3Fc4C1Fv11V2LQS12,P,C3,C0,C7,C0,C0,C5,1,4,3,2,0,1
Fc3C3Fc4C1Fv11V2LQS13,T,C0,C0,C8,C0,C0,C6,5,0,0,0,0,1
Fc3C3Fc4C1Fv11V2LQS14,V,C9,C2,C5,C0,C0,C0,8,1,5,3,2,1
Fc3C3Fc4C1Fv11V2LQS15,Q,C9,C0,C0,C0,C8,C2,0,0,0,0,0,2
Fc3C3Fc4C1Fv11V3LRS3,R,C3,C0,C8,C3,C5,C0,0,0,0,0,0,3
Fc3C3Fc4C1Fv11V3LRS4,Q,C9,C4,C0,C7,C0,C9,7,0,0,0,0,3
Fc3C3Fc4C1Fv11V3LRS5,R,C0,C0,C8,C0,C5,C0,7,0,1,0,0,3
Fc3C3Fc4C1Fv11V3LRS6,V,C2,C0,C6,C5,C0,C1,4,0,2,0,0,3
Fc3C3Fc4C1Fv11V3LRS7,P,C0,C0,C9,C4,C3,C4,7,0,3,0,0,3
Fc3C3Fc4C1Fv11V3LRS8,R,C2,C2,C0,C0,C0,C9,0,4,1,1,2,3
Fc3C3Fc4C1Fv11V3LRS9,Q,C3,C0,C0,C6,C0,C0,0,2,1,1,2,2
Fc3C3Fc4C1Fv11V3LRS10,P,C0,C2,C8,C0,C3,C0,0,5,1,9,0,2
Fc3C3Fc4C1Fv11V3LRS12,Q,C9,C8,C0,C2,C5,C0,0,0,0,0,0,3
Fc3C3Fc4C1Fv11V3LRS13,P,C5,C0,C7,C7,C3,C0,2,2,0,0,0,2
Fc3C3Fc4C1Fv11V3LRS14,R,C0,C0,C0,C3,C0,C3,0,0,6,0,0,3
Fc3C3Fc4C1Fv11V3LRS15,P,C0,C0,C3,C6,C0,C0,3,1,0,0,0,2
Fc3C3Fc4C2LPS3,Q,C3,C0,C3,C2,C0,C2,6,3,0,0,6,1
Fc3C3Fc4C2LPS4,R,C1,C3,C0,C0,C2,C2,3,0,0,0,7,0
Fc3C3Fc4C2LPS5,R,C8,C0,C4,C8,C3,C2,7,3,3,0,0,1
Fc3C3Fc4C2LPS7,R,C0,C1,C0,C2,C9,C0,0,2,4,10,1,6
Fc3C3Fc4C2LPS8,R,C1,C5,C0,C2,C0,C3,2,5,0,3,4,0
Fc3C3Fc4C2LPS9,R,C5,C9,C7,C8,C7,C0,0,7,0,5,0,2
Fc3C3Fc4C2LPS10,Q,C0,C1,C2,C1,C9,C0,0,7,0,0,0,0
Fc3C3Fc4C2LPS11,R,C1,C0,C0,C6,C7,C7,5,7,1,6,4,0
Fc3C3Fc4C2LPS12,V,C0,C0,C1,C3,C9,C0,0,0,0,0,0,0
Fc3C3Fc4C2LPS13,Q,C0,C3,C1,C3,C0,C0,2,4,0,4,3,0
Fc3C3Fc4C2LPS14,R,C3,C3,C1,C4,C0,C0,0,0,7,0,0,0
Fc3C3Fc4C2LPS15,S,C0,C7,C2,C0,C1,C1,0,0,5,0,0,0
Fc3C3Fc4C2Fc5C1LQS3,P,C0,C5,C0,C1,C6,C9,1,2,4,6,7,0
Fc3C3Fc4C2Fc5C1LQS4,P,C2,C0,C0,C0,C3,C0,0,0,0,8,0,0
Fc3C3Fc4C2Fc5C1LQS6,P,C9,C0,C0,C0,C3,C2,1,0,6,5,0,0
Fc3C3Fc4C2Fc5C1LQS7,P,C6,C4,C0,C0,C5,C0,0,0,0,7,5,0
Fc3C3Fc4C2Fc5C1LQS8,R,C4,C2,C9,C1,C0,C1,2,5,6,5,5,2
Fc3C3Fc4C2Fc5C1LQS9,R,C8,C0,C0,C5,C3,C6,3,4,0,4,7,0
Fc3C3Fc4C2Fc5C1LQS10,Q,C0,C0,C0,C6,C0,C3,0,2,3,3,3,0
Fc3C3Fc4C2Fc5C1LQS12,P,C2,C1,C2,C8,C0,C1,3,0,5,0,0,0
Fc3C3Fc4C2Fc5C1LQS13,P,C3,C0,C8,C9,C0,C9,4,0,2,0,0,5
Fc3C3Fc4C2Fc5C1LQS14,P,C2,C1,C4,C0,C4,C5,0,4,4,5,6,1
Fc3C3Fc4C2Fc5C2LPS3,Q,C0,C0,C0,C0,C0,C7,7,2,4,0,2,7
Fc3C3Fc4C2Fc5C2LPS5,S,C1,C0,C0,C0,C7,C1,1,0,4,0,0,3
Fc3C3Fc4C2Fc5C2LPS6,V,C2,C4,C9,C3,C0,C0,0,1,0,6,8,0
Fc3C3Fc4C2Fc5C2LPS7,T,C0,C1,C0,C2,C0,C0,0,0,0,0,0,0
Fc3C3Fc4C2Fc5C2LPS8,R,C3,C0,C2,C9,C2,C1,0,0,0,0,0,0
Fc3C3Fc4C2Fc5C2LPS9,P,C9,C1,C8,C4,C2,C3,5,0,0,4,0,0
Fc3C3Fc4C2Fc5C2LPS10,P,C1,C1,C1,C0,C9,C0,5,0,0,5,0,0
Fc3C3Fc4C2Fc5C2LPS12,P,C1,C1,C4,C2,C1,C2,2,7,4,4,3,0
Fc3C3Fc4C2Fc5C2LPS13,P,C2,C0,C0,C0,C0,C0,0,0,0,0,4,0
Fc3C3Fc4C2Fc5C2LPS14,Q,C0,C0,C9,C6,C4,C5,0,4,0,5,1,5
Fc3C3Fc4C2Fc5C2LPS15,R,C0,C0,C4,C1,C4,C0,0,0,6,0,4,2
Fc3C3Fc4C2Fc5C3LVS3,Q,C7,C3,C0,C8,C8,C7,6,0,3,0,0,1
